symbol,name
166105.sh,信达增利
201000.sh,R003
201001.sh,R007
201002.sh,R014
201003.sh,R028
201004.sh,R091
201005.sh,R182
201008.sh,R001
201009.sh,R002
201010.sh,R004
202001.sh,RC001
202003.sh,RC003
202007.sh,RC007
203007.sh,0501R007
203008.sh,0501R028
203009.sh,0501R091
203016.sh,0504R007
203017.sh,0504R028
203018.sh,0504R091
203019.sh,0505R007
203020.sh,0505R028
203021.sh,0505R091
203031.sh,0509R007
203032.sh,0509R028
203033.sh,0509R091
203040.sh,0512R007
203041.sh,0512R028
203042.sh,0512R091
203043.sh,0513R007
203044.sh,0513R028
203045.sh,0513R091
203049.sh,0601R007
203050.sh,0601R028
203051.sh,0601R091
203052.sh,0603R007
203053.sh,0603R028
203054.sh,0603R091
204001.sh,GC001
204002.sh,GC002
204003.sh,GC003
204004.sh,GC004
204007.sh,GC007
204014.sh,GC014
204028.sh,GC028
204091.sh,GC091
204182.sh,GC182
500001.sh,基金金泰
500002.sh,基金泰和
500003.sh,基金安信
500005.sh,基金汉盛
500006.sh,基金裕阳
500007.sh,基金景阳
500008.sh,基金兴华
500009.sh,基金安顺
500011.sh,基金金鑫
500015.sh,基金汉兴
500018.sh,基金兴和
500029.sh,基金科讯
500038.sh,基金通乾
500056.sh,基金科瑞
500058.sh,基金银丰
502000.sh,500等权
502001.sh,500等权A
502002.sh,500等权B
502020.sh,国金50
502021.sh,国金50A
502022.sh,国金50B
502048.sh,50分级
502049.sh,上证50A
502050.sh,上证50B
505888.sh,嘉实元和
510010.sh,治理ETF
510020.sh,超大ETF
510030.sh,价值ETF
510050.sh,50ETF
510060.sh,央企ETF
510061.sh,央企申赎
510070.sh,民企ETF
510090.sh,责任ETF
510110.sh,周期ETF
510120.sh,非周ETF
510130.sh,中盘ETF
510150.sh,招商上证消费80
510160.sh,小康ETF
510170.sh,商品ETF
510180.sh,180ETF
510190.sh,龙头ETF
510210.sh,综指ETF
510220.sh,中小ETF
510230.sh,金融ETF
510260.sh,新兴ETF
510270.sh,国企ETF
510280.sh,成长ETF
510290.sh,380ETF
510300.sh,300ETF
510310.sh,HS300ETF
510330.sh,华夏300
510410.sh,资源ETF
510420.sh,180EWETF
510430.sh,50等权
510440.sh,500沪市ETF
510450.sh,180高ETF
510500.sh,500ETF
510510.sh,广发500
510520.sh,诺安500
510610.sh,能源行业
510620.sh,材料行业
510630.sh,消费行业
510650.sh,金融行业
510660.sh,医药行业
510680.sh,万家380
510700.sh,百强ETF
510880.sh,红利ETF
510900.sh,H股ETF
511010.sh,国债ETF
511210.sh,企债ETF
511220.sh,城投ETF
511800.sh,易货币
511860.sh,博时货币
511880.sh,银华日利
511990.sh,华宝添益
512010.sh,医药ETF
512070.sh,非银ETF
512210.sh,景顺食品
512220.sh,景顺TMT
512230.sh,景顺医药
512300.sh,500医药
512310.sh,500工业
512340.sh,500原料
512500.sh,中证500
512600.sh,主要消费
512610.sh,医药卫生
512640.sh,金融地产
512990.sh,MSCIA股
513030.sh,德国30
513100.sh,纳指ETF
513500.sh,标普500
513600.sh,恒指ETF
513660.sh,恒生通
518800.sh,国泰黄金
518880.sh,黄金ETF
580012.sh,云化CWB1
580013.sh,武钢CWB1
580014.sh,深高CWB1
580016.sh,上汽CWB1
580017.sh,赣粤CWB1
580019.sh,石化CWB1
580020.sh,上港CWB1
580021.sh,青啤CWB1
580022.sh,国电CWB1
580023.sh,康美CWB1
580024.sh,宝钢CWB1
580025.sh,葛洲CWB1
580026.sh,江铜CWB1
580027.sh,长虹CWB1
600000.sh,浦发银行
600001.sh,邯郸钢铁
600002.sh,齐鲁石化
600003.sh,ST东北高
600004.sh,白云机场
600005.sh,武钢股份
600006.sh,东风汽车
600007.sh,中国国贸
600008.sh,首创股份
600009.sh,上海机场
600010.sh,包钢股份
600011.sh,华能国际
600012.sh,皖通高速
600015.sh,华夏银行
600016.sh,民生银行
600017.sh,日照港
600018.sh,上港集团
600019.sh,宝钢股份
600020.sh,中原高速
600021.sh,上海电力
600022.sh,山东钢铁
600023.sh,浙能电力
600026.sh,中海发展
600027.sh,华电国际
600028.sh,中国石化
600029.sh,南方航空
600030.sh,中信证券
600031.sh,三一重工
600033.sh,福建高速
600035.sh,楚天高速
600036.sh,招商银行
600037.sh,歌华有线
600038.sh,中直股份
600039.sh,四川路桥
600048.sh,保利地产
600050.sh,中国联通
600051.sh,宁波联合
600052.sh,浙江广厦
600053.sh,中江地产
600054.sh,黄山旅游
600055.sh,华润万东
600056.sh,中国医药
600057.sh,象屿股份
600058.sh,五矿发展
600059.sh,古越龙山
600060.sh,海信电器
600061.sh,中纺投资
600062.sh,华润双鹤
600063.sh,皖维高新
600064.sh,南京高科
600065.sh,*ST联谊
600066.sh,宇通客车
600067.sh,冠城大通
600068.sh,葛洲坝
600069.sh,*ST银鸽
600070.sh,浙江富润
600071.sh,*ST光学
600072.sh,钢构工程
600073.sh,上海梅林
600074.sh,保千里
600075.sh,新疆天业
600076.sh,青鸟华光
600077.sh,宋都股份
600078.sh,澄星股份
600079.sh,人福医药
600080.sh,金花股份
600081.sh,东风科技
600082.sh,海泰发展
600083.sh,博信股份
600084.sh,中葡股份
600085.sh,同仁堂
600086.sh,东方金钰
600087.sh,退市长油
600088.sh,中视传媒
600089.sh,特变电工
600090.sh,啤酒花
600091.sh,*ST明科
600092.sh,S*ST精密
600093.sh,禾嘉股份
600094.sh,大名城
600095.sh,哈高科
600096.sh,云天化
600097.sh,开创国际
600098.sh,广州发展
600099.sh,林海股份
600100.sh,同方股份
600101.sh,明星电力
600102.sh,莱钢股份
600103.sh,青山纸业
600104.sh,上汽集团
600105.sh,永鼎股份
600106.sh,重庆路桥
600107.sh,美尔雅
600108.sh,亚盛集团
600109.sh,国金证券
600110.sh,中科英华
600111.sh,北方稀土
600112.sh,天成控股
600113.sh,浙江东日
600114.sh,东睦股份
600115.sh,东方航空
